distance,altitude
2186.1,734.9
2189.5,735.3
2193.1,736.3
2196.2,737.8
2199.5,739.5
2202.6,740.0
2205.9,740.7
2209.1,741.3
2213.1,742.8
2216.2,744.0
2219.4,745.3
2223.0,747.0
2226.0,748.3
2229.7,749.9
2233.0,751.0
2236.9,752.4
2240.0,753.7
2243.4,755.4
2247.5,757.3
2251.2,758.8
2254.3,760.0
2258.1,761.3
2261.5,762.3
2265.1,763.5
2268.2,764.5
2271.5,765.7
2275.0,767.3
2278.0,768.6
2281.2,770.0
2284.2,771.2
2287.3,772.4
2290.7,773.1
2294.0,773.8
2298.6,790.1
2302.5,779.9
2311.2,766.8
2314.8,766.6
2318.8,766.3
2322.2,766.2
2326.2,766.0
2329.8,765.9
2332.8,765.7
2335.9,765.6
2339.7,765.3
2343.8,765.1
2347.9,764.9
2351.9,764.7
2355.8,764.4
2359.2,764.2
2363.0,763.9
2367.2,763.6
2370.4,763.4
2373.4,763.3
2376.7,763.2
2380.8,763.0
2384.8,763.0
2388.7,763.0
2392.3,762.9
2396.1,762.8
2399.9,762.6
2403.9,762.4
2407.0,762.2
2410.1,761.9
2413.8,761.6
2417.3,761.2
2420.8,760.9
2424.2,760.6
2427.7,760.3
2430.7,760.0
2433.9,759.7
2437.6,759.4
2441.7,759.1
2445.8,758.8
2450.0,758.5
2454.1,758.2
2458.4,757.9
2462.6,757.5
2465.8,757.2
2468.8,756.8
2473.2,756.4
2477.3,755.9
2480.4,755.6
2484.2,755.2
2488.4,754.8
2492.5,754.3
2496.9,753.6
2501.3,753.0
2505.3,752.5
2509.3,752.0
2512.9,751.3
2516.5,750.4
2520.9,749.4
2525.1,748.4
2529.1,747.4
2532.7,746.5
2535.8,746.0
2540.0,746.1
2543.7,746.2
2547.7,746.3
2551.8,746.4
2555.8,746.5
2559.9,746.5
2563.8,746.6
2567.9,746.7
2571.9,746.8
2576.1,746.9
2580.0,746.9
2583.7,747.0
2587.5,747.0
2591.4,747.0
2595.2,747.0
2599.2,746.9
2603.2,746.9
2607.3,746.8
2611.7,746.6
2615.9,746.5
2619.7,746.3
2623.8,746.2
2627.6,746.0
2631.8,745.9
2636.1,745.7
2640.2,745.6
2644.1,745.4
2648.2,745.3
2651.8,745.1
2655.9,745.0
2659.7,744.9
2663.2,744.8
2667.2,744.6
2671.5,744.5
2675.4,744.4
2679.7,744.3
2683.8,744.2
2687.6,744.1
2691.7,744.1
2696.0,744.1
2700.4,744.1
2704.3,744.1
2707.3,744.1
2711.4,744.1
2715.5,744.1
2719.6,744.1
2723.8,744.2
2728.2,744.2
2732.7,744.3
2736.9,744.3
2741.0,744.4
2745.2,744.4
2749.6,744.5
2753.8,744.6
2758.1,744.7
2762.1,744.8
2766.1,744.9
2769.9,745.1
2773.8,745.2
2777.7,745.4
2781.9,745.5
2786.1,745.6
2789.2,745.7
2793.3,745.8
2797.3,745.9
2801.4,746.0
2805.4,746.1
2809.4,746.3
2813.8,746.5
2818.1,746.5
2822.1,746.6
2826.1,746.6
2830.3,746.7
2834.4,746.8
2838.3,746.8
2842.4,746.9
2846.3,746.9
2850.2,746.9
2854.3,747.0
2858.5,747.0
2862.7,747.1
2867.1,747.1
2871.1,747.1
2875.2,747.2
2879.3,747.3
2883.3,747.5
2887.3,747.7
2891.3,748.1
2895.2,748.4
2899.5,748.8
2903.7,749.4
2907.8,750.0
2911.8,750.0
2914.8,750.0
2919.0,750.0
2923.2,750.0
2927.1,750.0
2930.4,750.0
2933.5,749.9
2937.9,749.5
2942.1,748.4
2945.3,747.6
2948.9,746.6
2952.4,745.5
2955.7,744.9
2958.8,744.4
2962.1,743.5
2966.1,742.1
2970.2,741.0
2974.2,740.1
2978.4,739.2
2982.2,738.3
2986.2,737.4
2989.3,736.8
2993.3,736.4
2997.0,736.0
3001.1,735.3
3005.2,734.6
3009.3,733.8
3013.6,733.3
3017.9,732.7
3021.9,732.2
3026.3,731.7
3030.6,731.2
3033.7,730.7
3037.9,730.1
3041.4,729.7
3045.1,729.5
3049.2,729.2
3052.2,728.9
3055.3,728.6
3058.4,728.4
3062.6,728.3
3066.8,728.3
3071.1,728.3
3075.3,728.0
3079.4,727.8
3083.3,727.6
3087.1,727.5
3090.9,727.3
3095.0,727.2
3099.0,727.1
3102.9,727.1
3106.7,727.2
3110.9,727.2
3114.9,726.7
3119.1,726.5
3122.9,726.3
3126.5,726.0
3129.7,725.6
3133.8,725.5
3138.1,725.4
3142.4,725.2
3146.4,724.9
